Count		Words
5		cancel
25		events
2		planned
1		Belarus.
4		troops
4		entered
21		through
10		Belarus
65		when
10		began
5		Thursday.

31		Ukrainian
7		forces
74		were
7		holding
38		off
1		advancing
6		capital
2		Kyiv,
20		President
3		Volodymyr
1		Zelenskyy
14		biggest
12		assault
10		state
46		since
2		War
4		Two
7		fourth
3		day.
7		Indian
3		teenager
5		Praggnanandhaa
4		beats
55		world
13		chess
10		champion
1		Carlsen

4		Rameshbabu
3		Praggnanandhaa,
5		2016
8		became
6		youngest
2		master
11		history
3		10,
8		Carlsen
9		online
3		championship.

3		prodigy
1		Praggnanandhaa

2		poses
1		photograph
229		his
2		arrival
143		an
1		airport
1		Chennai
4		becoming
1		world's
38		second
3		grandmaster
7		ever
1		Arun
1		Sankar/AFP]

9		22
4		India’s
2		teenage
28		won
5		praise
4		stunning
18		victory
16		number
63		one
3		Magnus
2		16,
16		beat
16		late
7		Monday
1		Airthings
1		Masters
3		rapid
8		tournament.

1		Caruana
2		retain
2		Chess
1		crown

1		Q&A:
3		Iranian
33		player
2		Sara
1		Khadem

1		Garry
1		Kasparov
6		talks
1		chess,
4		politics
2		Putin

1		Chennai:
1		capital

10		“It’s
64		about
42		go
1		bed
215		I
24		don’t
44		think
2		dinner
1		2.30
1		morning,”
1		visibly
2		calm
1		39-move
46		playing
1		black.

1		Others
4		beaten
40		–
2		Indians
1		Viswanathan
1		Anand
1		Pentala
1		Harikrishna
1		Norwegian
3		2013.

1		Anand,
1		five-time
1		acclaimed
5		greatest
21		India
1		produced,
2		tweeted:
1		“Always
7		proud
51		our
1		talents!
1		Very
20		good
25		day
1		@rpragchess.”

36		cricket
1		superstar
1		Sachin
2		Tendulkar
3		joined
1		Chennai-born
1		widely
1		regarded
8		title
1		challenger.

3		“What
3		wonderful
10		feeling
5		must
1		Pragg.
5		All
3		experienced
9		&
1		decorated
2		Carlsen,
10		too
55		while
1		black,
1		magical!,”
1		“Best
2		wishes
26		long
5		successful
5		career
2		ahead.
1		You’ve
49		made
1		proud!”

1		31,
7		appeared
1		blunder
1		Meltwater
35		Champions
8		Tour
17		event
5		total
5		prize
1		pool
1		$1.5m.

10		Monday,
27		still
1		after-effects
11		recent
3		coronavirus
1		infection.

10		“It
17		better
3		today,
8		couple
3		days,
48		like
10		am
1		okay
8		energy
5		kind
14		hard
1		focus,”
5		fifth
5		straight
1		overcoming
3		Ian
1		Nepomniachtchi
3		contest
17		saw
8		lose
2		nerve
10		losing
1		epic
1		eight-hour
12		game,
1		longest
1		teenager’s
1		follows
1		underwhelming
5		performance
15		tournament
44		so
14		far
38		where
15		previous
34		came
8		eighth
6		round
1		Levon
1		Aronian.

2		“His
1		results
22		past
11		six
11		months
1		swung
1		extremes,”
1		Praggnanandhaa’s
34		coach
15		RB
1		Ramesh
2		quoted
13		saying
1		ESPN.

22		“The
1		fluctuation
2		worrying
4		needs
1		stabilised.
41		win
1		important.
1		Beating
2		strongest
8		huge
6		moment
1		him.”
1		Boxing:
3		Amir
11		Khan
1		mulls
3		retirement
7		defeat
3		Kell
1		Brook

2		35-year-old
2		boxer
26		says
17		might
4		retire
1		spanned
11		nearly
9		20
3		years.

50		only
11		showed
3		flashes
11		form
59		him
12		become
4		unified
4		light-welterweight
3		decade
6		ago
4		[Andrew
3		Couldridge/Action
8		Images
13		via
4		Khan,
1		right,
5		British
3		considering
2		suffering
1		comprehensive
1		sixth-round
1		TKO
8		hands
1		Brook.

1		outclassed
1		Saturday’s
6		fight
1		compatriot
5		Brook
12		start
3		finish
4		looked
3		dire
1		straits
4		referee
7		stepped
5		save
1		punishment.

1		Ringside:
5		boxing
1		prodigies
1		Chicago’s
7		South
1		Side

2		Boxing
1		bouts
1		fixed
1		Rio
9		Olympics,
3		investigation
1		finds

1		Manny
1		Pacquiao
1		retires
1		chase
1		Philippine
1		presidency

1		Portugal:
30		A
36		club
1		shaping
2		lives
28		social
1		integration

1		Brook,
3		35,
1		courted
1		showdown
1		opponent
16		come
1		despise
18		several
31		years
4		constantly
1		rebuffed,
14		given
7		opportunity
20		here
1		grasped
31		both
1		149-pound
1		catchweight
1		bout
1		Manchester’s
2		AO
2		Arena.

1		shrugged
1		vociferously
1		jeered
2		ring
7		crowd
3		largely
27		support
1		Bolton-born
2		raised
2		repeatedly
19		left
1		foe
1		rubbery
1		legs
2		countless
2		punishing
5		shots
1		head.

5		refused
1		buckle
3		stayed
1		upright
5		throughout
1		absorbed
50		some
1		vicious
1		blows
14		face
4		heavily
1		marked
1		Victor
1		Loughlin
4		wave
3		51
3		seconds
1		sixth
1		round.

4		fighting
8		venue
1		2009,
6		claimed
2		bragging
1		rights.

4		silver
1		lightweight
1		Athens
24		Olympics
2		2004
19		former
2		champion,
8		hoping
4		spend
3		family.

17		something
1		about,
1		definitely,”
3		reporters
5		asked
2		retirement.
8		“I’ve
23		always
18		never
22		want
8		me,
1		boxing.

1		“Punishment
8		sometimes
1		boxing,
27		know
13		big
14		heart
32		took
19		much
1		harmful
1		future.

13		done
2		expected.
2		Maybe
1		peaked
1		early,
2		17,
1		22.
19		I’m
2		35
5		now,
12		I’ve
41		very
9		time,
6		old
2		man.
80		my
1		kids
2		family.”

97		-
9		v
3		Arena,
1		Manchester,
2		Britain
15		February
1		19,
69		2022
1		Amit
7		looks
3		dejected
1		Action
1		Reuters/Andrew
1		CouldridgeAmir
3		suggested
1		post-fight
4		press
1		conference.

7		wanted
1		Amir.
1		grudge
1		icing
1		cake
10		me.
4		live
7		peace
2		myself,
1		career,”
10		tried
2		best,
30		do
1		everything.
8		You
4		know,
4		carry
1		on?
16		feel
1		23-year-old
2		today.
2		sit
34		down
3		dad
1		mum
7		immediate
7		family
20		see
1		on.”
10		skater
15		Valieva
1		cleared
51		Beijing
4		Olympics

19		women’s
5		Tuesday
4		CAS
2		upheld
3		lifting
3		provisional
1		suspension.

16		Russia's
9		Kamila
1		Valieva

7		test
8		result
3		arrived
9		led
12		gold
65		last
2		Monday's
1		[Anne-Christine
1		Poujoulat/AFP]

10		14
9		figure
3		Court
3		Arbitration
6		Sport
1		(CAS)
7		suspension
2		connection
17		positive
11		doping
3		test.

1		urgent
1		permits
3		15-year-old
3		enter
1		singles
9		Games,
6		starts
2		Tuesday,
3		appeals
1		(IOC),
4		Anti-Doping
2		Agency
1		(WADA)
9		skating
1		(ISU)
1		dismissed.

34		3

2		2.0:
12		China’s
2		soft
5		power
2		push

4		Photos:
3		Opening
13		ceremony
47		Winter
22		Games
3		Beijing

2		Valieva:
29		media
7		failed
8		drug
2		test

4		panel
2		charge
11		decided
4		let
1		Miss
51		her
6		participation
1		CAS’s
1		Director-General
2		Matthieu
1		Reeb
1		Monday.
6		means
2		imposed
1		skater.”

4		Valieva’s
1		“exceptional
1		circumstances”
9		key
5		decision,
1		three-man
5		heard
3		acknowledged
2		“very
1		limited
1		facts
1		case”.

29		four
2		reasons
1		emphasised
1		“protected
1		person”
4		status
2		minor
24		under
1		Code
1		(WADC)
9		lack
14		clear
4		rules
2		suspending
47		there
1		specific
1		provisions
23		different
1		standards
2		evidence
2		lower
8		sanctions
5		case
3		protected
1		persons.

1		“considered
1		fundamental
2		principles
1		fairness,
1		proportionality,
1		irreparable
1		harm,
1		relative
1		balance
1		interests”
1		appealing
1		parties,
1		“serious
2		issues
1		untimely
2		notification
1		results”
1		impeded
1		“ability
1		establish
7		certain
10		legal
2		requirements
4		benefit
15		such
1		fault”.

1		Disciplinary
2		anti-doping
1		RUSADA
1		lifted
21		week
41		she
5		tested
1		prohibited
1		medicine
4		trimetazidine
3		sample
13		taken
4		December
1		25.

4		Monday’s
4		event.

8		medal
9		suspended
75		final
7		once
11		full
1		dealt
1		Testing
1		Agency,
2		20.

1		Reaction

17		Russia’s
3		welcomed
2		announcement.

1		“Tomorrow
4		whole
8		female
1		skaters
5		individuals
2		competition,”
3		committee
1		Telegram,
6		calling
1		“best
9		news
1		day”.

2		land
2		quadruple
5		jump
9		leading
1		over

23		United
5		States,
3		Japan
4		Canada
1		fourth.

15		US
14		Paralympic
2		disappointed
5		decision.

17		“We
10		message
1		sends.
53		It
2		collective
3		responsibility
5		entire
1		community
10		protect
2		integrity
9		hold
7		athletes,
5		coaches
9		highest
1		standards,”
1		Sarah
1		Hirshland,
1		CEO,
1		“Athletes
18		right
11		competing
1		field.
1		Unfortunately,
7		today
1		denied.
3		appears
27		another
1		chapter
1		systematic
1		pervasive
1		disregard
2		clean
1		Russia.”

1		Eteri
1		Tutberidze
3		believed
7		athlete
1		“clean
1		innocent”.

8		nation
35		because
1		practices
2		country.
19		How
5		residents
21		taking
1		‘closed-loop’
1		lament
13		ban
6		overseas
1		ambience
3		there.

2		People
2		queue
2		souvenir
2		store
2		Wangfujing
2		shopping
2		mall
2		complex
1		[Noel
2		Celis/AFP]

1		Noel
7		By
3		Kyle
1		Mullin

1		halfway
2		mood
2		city,
7		hosted
4		Summer
5		mixed
36		most
4		cannot
3		attend
1		rigidly
1		pandemic-preventative
3		“closed
2		loop”.

5		Alex
1		Acker,
1		expat
5		showing
1		Jing-A
1		craft
1		brewery
1		branches
3		2008
11		felt
6		“a
2		party”
25		Chinese
1		“really
18		coming
1		own”.

8		Olympics:
15		China
3		stirs
3		controversy
4		Uighur
3		torchbearer

7		Which
6		leaders
6		attending
3		2022?

10		At
3		tries
5		sell
3		digital
3		yuan

58		He
8		believes
2		excited
1		“obviously
1		muted
6		COVID
9		able
3		mix
58		athletes
35		around
1		world”.

1		Mathieu
1		Herout,
3		owns
45		sports
2		bar,
1		downbeat,
1		“good
1		crowd”
10		opening
1		ceremony,
1		“handful
31		people
10		watch
2		competitions”.

11		There
3		“no
1		comparison”
4		2022,
2		said,
7		adding
30		many
1		employees
9		remember
1		“foreign
2		spectators,
4		staff,
1		crews
2		ago.

2		none
6		year,
3		health
8		safety
1		measures,”
1		Herout.

62		two
1		“starkly
1		different”,
1		Asher
1		Gillespie,
3		pizza
23		place
4		Beijing’s
44		top
3		ice
1		rinks,
4		spent
1		evolving
4		hockey
1		scene
4		local
2		recreational
12		league
3		player.

3		Gillespie
1		recalled
1		throngs
2		tourists
2		staff
1		descending
1		sightseeing,
11		watching
7		events,
1		dining
5		enjoying
1		nightlife.

17		For
2		tickets
4		Bird’s
3		Nest,
1		Water
1		Cube
1		bars
1		restaurants
1		alternative,
1		industry
2		hoped
1		similar.

2		“Obviously
7		everything
5		changed
1		COVID,”
3		Play
3		Video

4		Video
3		Duration
2		02
18		minutes
1		46
3		seconds

1		02:46

1		US-born
1		pressure

6		Mark
1		Dreyer,
1		founder
13		Sports
1		Insider,
1		TV
1		commentator,
1		author
4		Sporting
1		Superpower:
11		An
1		Insider’s
1		View
1		Quest
1		Be
1		Best,
1		factors
1		“dampened
1		mood”
43		during
6		Games.

2		Along
2		Dreyer
1		chilly
2		weather
4		meant
2		fewer
2		outdoor
1		festivities
3		summer
2		2008.

9		hope
1		retail
1		clamour
1		Games’
1		mascot,
5		though
3		remembers
2		bigger
11		earlier
1		buildup
2		ran
1		highly
2		interviews
1		residents,
1		counter
5		diplomatic
3		boycotts
3		strict
1		anti-COVID
1		protocols
1		Olympians,
2		volunteers
8		within
1		Businesses
6		bubble
9		gave
9		Al
2		Jazeera
2		view.

3		Wang
3		manages
6		hotel
12		few
3		blocks
1		east
8		feels
1		safe”
8		despite
1		influx
2		Omicron
1		surge.

1		restrictions
7		affected
1		traffic
3		hotel.

1		Restaurateurs,
1		Wu
1		eatery
1		south
3		share
1		“business
1		usual”
1		sentiment.

1		Fiona
2		Yao
9		little
6		boycott
2		mattered
5		inspired
14		young
1		daughter
1		lace
73		up
1		skate
1		ponds
1		winter.

26		And
2		“unfortunate
5		can’t
1		2008”,
33		those
1		procedures,
1		“we
9		happy
1		[the
1		Games]
3		actually
3		happen
1		city”.

11		24
3		54
1		24:54

3		Athlete
1		activism:
1		Reviving
1		defiant
1		tradition
17		|
1		UpFront

1		Dastine
1		Huang,
4		skiing
2		fan,
1		“unprecedented
1		enlighten”
1		uninitiated
2		viewers
1		virtues
2		slopes
1		rinks.

2		snowboarders
1		Cai
1		Xuetong
1		Su
1		Yiming,
7		especially
2		freestyle
2		skier
6		Eileen
9		Gu
27		winning
2		China.

1		Watching
1		skiers
1		snowboarder
1		Guo
1		“Anna”
1		Na
33		even
1		motivated
3		usual
37		take
1		slopes.

1		her,
1		infrastructure
1		boost,
1		high-speed
1		rail
1		whisk
1		snowboarding
3		friends
2		hours,
3		greater
3		quality
1		resorts
2		approached
1		plus.

11		That
2		enthusiasm
1		would-be
6		winter
8		shared
4		Canadian
4		Justin
1		Downes
1		who,
1		IMG
2		Ski
1		Resort
1		Management
1		Axis
1		Leisure
1		Management,
1		consulted
22		help
1		develop
1		industries.

4		ski
1		snowboard
4		population
1		quadrupled
2		bid
3		track
7		double
2		2025,
26		make
2		world’s
1		nation.

1		“Tourism
3		numbers
1		destinations
15		seen
3		unprecedented
2		growth
2		coupled
1		population’s
1		quest
1		happier,
1		healthier
1		balanced
22		way
7		life
1		snow
7		venues
3		significant
1		beneficiaries
1		this.”
1		Kupp,
5		Donald
24		star
12		Rams
10		Bengals
22		Super
2		Bowl

35		back
2		20-13
13		early
10		third
3		quarter
4		claim
15		Bowl
1		title.

2		LA
11		celebrate
14		trophy
6		LVI
7		Cincinnati
2		[Frederic
2		J.
2		Brown/AFP]

1		Cooper
3		Kupp
19		scored
2		touchdowns
2		Aaron
2		spearheaded
1		fearsome
14		defensive
5		display
6		Los
5		Angeles
4		defeated
1		23-20
2		Bowl.

6		decisive
3		touchdown
4		less
4		90
3		remaining
7		give
13		lead
5		SoFi
11		Stadium
3		grabbed
1		Rams’
1		record-breaking
2		sack
8		quarterback
3		Joe
4		Burrow
3		effectively
6		seal
3		victory.

2		Back
1		future:
1		ads
1		bet
1		nostalgia,
1		escapism

1		Race
7		lawsuit
2		brings
19		NFL
2		reckoning
1		kickoff

1		seasons,
8		7
1		wins:
1		Tom
1		Brady
1		retires

1		Donald’s
2		dramatic
3		act
1		gripping
1		star-studded
2		Bengals,
7		whose
5		maiden
1		Vince
1		Lombardi
12		Trophy
6		fell
1		agonisingly
1		short.

5		“I’m
1		happy,”
1		Donald.
41		“I
1		bad.
2		dreamed
4		this.

2		“One
4		we’re
1		champs,”
6		crucial
1		sack.
5		“Any
54		get
3		him.
2		it.”

3		Matthew
2		Stafford,
4		meanwhile,
3		paid
2		tribute
13		team’s
1		never-say-die
1		approach.

1		team,”
4		Stafford
28		said.
7		“There
4		guys
1		deserve
5		this,
3		soul
3		team.

1		“That
5		story
6		season.
14		It’s
36		it’s
1		tough.
1		We’re
8		tough
1		team.
28		got
1		done.”

1		stormed
10		half
5		controversial
1		Tee
1		Higgins
2		Evan
1		McPherson
13		field
5		goal.

1		Rams,
6		struggled
3		build
1		momentum
1		offence
1		game-ending
4		injury
2		Odell
2		Beckham
1		Jr,
1		clawed
2		thanks
1		rampant
1		defence
1		Donald.

5		sacked
6		moments
4		prevent
1		extending
1		lead.

11		celebrates
2		13,
2		Inglewood,
3		California
4		[Katelyn
4		Mulcahy/Getty
1		AFP]Matthew
1		AFP]

6		Matt
1		Gay’s
18		goal
6		pulled
1		20-16
2		heading
1		quarter.

1		15-play,
1		79-yard
2		drive
1		benefitted
5		penalties
10		line
1		plucked
1		one-yard
8		pass
1		zone
1		go-ahead
1		touchdown.

1		brutal
1		Burrow,
2		25-year-old
2		rising
11		helped
1		transform
1		Cincinnati’s
1		fortunes
5		season.

9		finished
1		263
1		passing
3		yards
1		buffeted
7		night
10		eight
1		times,
1		283
1		interceptions.

12		franchise
4		returning
11		St.
1		Louis
2		2016.
2		Their
1		2000.

2		appearances
12		lost
1		decider
1		1982
1		1989.

3		Fans
4		react
1		AFP]Fans
1		AFP]
28		Chelsea
1		maintains
1		domination
9		Club
2		Cup

2		Blues
8		English
24		side
7		Manchester
3		Liverpool.

2		Chelsea's
12		captain
3		Cesar
2		Azpilicueta
1		(C)
4		lifts
3		teammates
2		2021

1		SE
10		Palmeiras
3		Abu
1		Dhabi,
1		UAE
6		Saturday
2		[Ali
1		Haider/
1		EPA-EFE]

9		12
1		Kai
3		Havertz
21		penalty
4		deep
7		extra
1		Brazil’s
2		2-1
4		Saturday.

1		Romelu
1		Lukaku’s
1		superb
2		header
11		champions
1		Raphael
1		Veiga
1		levelled
6		spot
2		Copa
2		Libertadores
4		hour
1		Dhabi.

3		Man
4		City
11		vs
2		Chelsea:
1		preview

2		Football:
1		Liverpool,
2		qualify
3		League

17		As
3		happened

1		Havertz,
2		hero
1		City,
5		Chelsea’s
1		match-winner
17		again
2		converted
3		117
7		awarded
18		following
1		VAR
1		review.

1		amazing.
11		After
2		Europe,
3		world.
1		sounds
3		better,”
1		Channel
2		4.

1		nervous
1		[taking
1		penalty],
2		honest.
2		penalty.
1		crazy.
8		kept
1		nerves.
1		happy.
1		kid
2		this.
1		amazing
2		me.”

1		crowned
4		history.

10		every
9		possible
6		Roman
12		Abramovich
2		bought
3		2003,
1		avenged
10		1-0
7		loss
2		Corinthians
1		2012
2		final,
1		critical
1		stretch
1		horizon
13		return
1		London.

12		They
1		Lille
7		16
7		Liverpool
1		round,
3		days.

9		Thomas
1		Tuchel
1		dugout
13		having
2		flown
75		out
1		Dhabi
7		missing
1		COVID-19.

2		Edouard
4		Mendy
4		returned
3		wake
6		Senegal’s
26		Africa
2		victory,
1		expense
1		Kepa
1		Arrizabalaga,
1		much-improved
15		likely
2		attract
3		interest
23		clubs
3		transfer
3		summer.

1		decline
9		Premier
1		coincided
2		authority
1		conviction,
1		controlling
5		possession
22		until
10		forced
2		Weverton
1		Pereira
1		da
5		Silva
2		save.

5		Even
4		then,
2		Thiago
1		Silva’s
1		searing
1		distance
42		going
1		wide.

32		In
1		contrast,
7		twice
1		rue
2		efficiency
3		Dudu
1		stabbed
21		well
8		wide
1		Andreas
1		Christensen
1		intervention
2		negate
1		promising
16		attack
1		Brazilians.

3		Lukaku
1		rises
1		occasion

6		meet
3		expectations
1		rejoining
3		Inter
4		Milan
6		club’s
1		signing,
1		Belgian
10		goals
1		half.

1		Callum
1		Hudson-Odoi,
2		nod
1		wing-back,
1		whipped
5		cross
1		soared
2		above
3		defenders
5		beyond
1		Weverton.

13		Christian
1		Pulisic,
6		brought
7		30
1		injured
1		Mason
1		Mount,
2		curled
1		tidy
1		interplay
1		Lukaku,
1		handled
1		area.

17		Australian
5		Chris
1		Beath
4		recommended
3		review
1		incident
1		touchline
1		monitor
1		Abel
1		Ferreira
1		appealed,
8		almost
5		immediately
2		pointed
1		spot.

1		Veiga,
10		target
1		2-0
1		Ahly,
1		slam
3		Mendy,
2		greeted
1		bellowing
1		roars
1		near-capacity
1		32,871
2		attendance
2		majority
6		wearing
3		green
6		white
1		Palmeiras.

2		Pulisic
1		rolled
3		effort
3		narrowly
1		inviting
1		lay-off
1		surprise,
2		week.

6		action
13		2021
1		finalThiago
1		Haider/EPA-EFE]

1		frantic
1		scramble
16		inside
1		six-yard
3		box
1		bundle
5		although
1		offside
2		build-up
2		ruled
1		Timo
1		Werner
2		ticked
15		away
2		defended
1		deep,
2		breakthrough
2		Luan
1		penalised
2		blocking
1		Azpilicueta’s
1		volley
1		arm.

6		sent
3		wrong
2		spark
2		wild
1		celebrations,
1		bitter
1		culminated
37		them
1		finishing
13		10
4		men
1		scything
1		German.

6		winner
2		champion.
4		quite
1		tenure
1		Tuchel.

1		ninth
1		title,
2		dating
1		2013.
1		final?
1		2012.

1		Reports
23		IOC
1		delays
6		present
2		medals.

2		(ROC)
2		performs
6		women's
4		single
13		free
2		portion
1		Capital
1		Indoor
1		Stadium

1		[Michael
1		Madrid/
7		USA
2		TODAY
2		Beijing,
1		newspapers
2		say.

1		reports,
3		Wednesday,
4		(IOC)
9		postponed
5		cited
1		unexplained
1		reasons.

1		Newspapers
1		RBC
1		Kommersant
2		championship
1		Estonia
3		month.
1		increase
3		blood
3		flow
1		endurance.

5		alleged
3		cost
1		threaten
7		individual
32		next
5		week.
12		strong
2		favourite
4		competition.

2		declined
3		comment
1		Adams,
1		group’s
1		spokesman,
1		“active
1		case”
1		concerning
3		claims
1		“speculation”.

1		arise
1		yesterday
3		sorts
1		implications,”
9		…
6		wouldn’t
1		appropriate.”

6		reports
3		delivered
1		highlights
2		landed
1		woman
2		Any
1		penalise
2		strip
2		medals
7		probably
5		cause
1		outcry
1		prestige
1		‘Leave
1		peace’

1		Prominent
2		journalist
1		Vasily
1		Konov,
2		deputy
5		general
3		producer
1		channel
1		Match-TV,
8		citing
1		sources
6		question
2		way.
2		all.
11		found
2		December.
1		minuscule
1		amount.
1		Nothing
1		samples
1		since,”
2		media.

1		conventional
1		sense.
1		No!
6		cardiac
4		impact
1		performance.
2		Now
7		leave
2		peace.”

1		Dr
1		Sadiya
2		cardiologist
2		assistant
2		professor
1		Northwestern
4		University
1		Feinberg
1		School
1		Medicine,
2		Reuters
5		agency
1		theory
7		used
1		healthy
2		person
2		enhance
3		normal
2		levels.

3		idea
9		behind
2		be,
1		potentially,
73		you
1		flow,
1		improve
1		somebody’s
6		ability
2		exercise
7		longer
2		efficiently
3		allowing
4		respond
1		super-normally,”
1		offers
1		performance-enhancing
1		benefit.

5		“There’s
1		theoretical
1		benefit,”
1		difference.”

7		Former
1		pairs
1		Tatiana
1		Volosozhar,
6		2014
2		Sochi
2		media,
9		use
4		hashtag
1		#Iwillneverbelieve
6		show
1		teenager.

3		Her
8		post
1		“liked”
4		Instagram
1		Valieva.

9		If
1		disqualified,
8		States
1		elevated
1		event.
1		fourth-place
2		finisher
3		receive
2		bronze.

4		“Russian
1		Committee”
4		massive
1		state-sponsored
1		scheme
2		Olympics.

1		shortcomings
1		implementation
5		denies
7		running
1		programme.
4		takes
30		home
27		Peng
1		watches
1		stands

1		Teen
1		sensation
11		tennis
10		sexual
3		allegations
2		spotted
1		crowd.

1		Gu,
1		turquoise
1		vest
10		black
1		sweater
2		freeski
6		Big
1		Air

1		podium
1		[Phil
1		Noble/Reuters]

2		8
1		inaugural
1		Freeski
4		Air
8		Shuai
1		stands.

1		Californian-born
1		jump,
3		saved
32		best
2		managed
1		rotations
1		grabbing
14		outside
3		landing
1		backwards.

2		‘disappearing’
5		sex
3		claim

3		Xi
2		promises
2		‘safe,
2		splendid’
2		cases
2		rise

1		France’s
1		Tess
1		Ledeux
1		Switzerland’s
1		Mathilde
1		Gremaud
1		run,
1		hundred
1		Shougang
1		roared
1		“Come
1		on”.

1		18-year-old
1		helmet
1		cleanly
2		realised
1		jump.

1		zone,
1		screamed
1		joy
3		knees
1		scores
4		flashed
7		up,
8		watched
2		Bach,
16		among
1		congratulate
1		debut.

6		standing
1		ovation.

3		pictured
1		mid-air
11		front
1		grey
1		concrete
2		wall
2		emblazoned
2		logo
1		competes
4		final.
5		She
1		P
1		Scott/USA
10		Tennis
2		Shuai,
4		welfare
5		concern
3		allegation
14		official
1		November,
1		Gu’s
1		bobble
1		hat
2		rings
1		coat
1		flag.

4		Bach
3		confirmed
1		“She
6		sitting
2		talk
1		quarantine,
6		closed
1		loop,”
2		agency.

1		vice-premier
2		Zhang
2		Gaoli
2		years-long
2		relationship.

5		removed
2		weeks,
9		Women’s
1		(WTA)
2		information
1		whereabouts.

1		barriers
1		beanie
1		coatTennis
8		issue
1		concern,
9		stands
3		spoke
1		[Fabrizio
1		Bensch/Reuters]

2		various
7		video
1		21.
4		month,
10		interview
2		Singapore
2		newspaper,
6		denied
15		making
1		comments.

10		French
3		daily
